"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Painel de Assinatura","Visualizar a Assinatura salva na aplicação","Acessar o painel de assinatura","0","0","1","0","0"
"Login","Tela de Login","Login com credenciais válidas","0","0","1","0","0"
