"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 18:34:09 BRT 2025","Thu May 15 18:34:13 BRT 2025","4310","","projeto_teste.tests.LoginTest","","projeto_teste.tests.LoginTest","fazerLogin","Fazer Login na aplicaÃ§Ã£o","Teste que faz login com email e senha vindos do arquivo .env ou variÃ¡veis de ambiente"
"passed","Thu May 15 18:34:13 BRT 2025","Thu May 15 18:34:19 BRT 2025","5866","","projeto_teste.tests.PainelAssinaturaTest","","projeto_teste.tests.PainelAssinaturaTest","acessarPainelDeAssinatura","Acessar o painel de assinatura","Teste que acessa o painel de assinatura apÃ³s fazer login"
